#{"t_start": 1718792136.0473466, "env_id": "None"}
r,l,t
-187849.0,302,1167.133128
-184692.0,305,1168.331946
-169928.0,289,1169.445989
-182692.0,302,1170.621966
-171669.0,291,1171.762383
-184420.0,304,1179.456983
-196393.0,312,1180.641928
-169262.0,283,1181.720967
-180219.0,298,1182.895047
-177240.0,296,1184.061351
-178360.0,296,1185.199976
-172208.0,295,1192.64845
-166076.0,275,1193.885183
-162098.0,282,1195.049982
-184247.0,304,1196.214881
-184594.0,300,1197.454035
-168236.0,283,1198.548108
-167266.0,282,1199.632723
-169808.0,293,1200.799945
-164087.0,289,1208.114915
-170885.0,291,1209.305925
-175865.0,300,1210.52034
-174075.0,292,1211.664965
-175503.0,286,1212.787923
-151494.0,271,1213.846891
-170007.0,288,1215.019933
-175986.0,287,1222.720936
-168974.0,285,1223.860897
-161068.0,279,1225.022914
-178943.0,301,1226.174909
-170591.0,292,1227.318336
-166968.0,281,1228.465924
-153337.0,270,1229.564867
-164495.0,289,1237.059667
-185245.0,300,1238.274961
-153987.0,275,1239.347996
-156155.0,274,1240.434077
-149967.0,277,1241.51098
-164213.0,284,1242.569934
-164808.0,277,1243.644909
-155028.0,286,1251.019074
-154395.0,271,1252.082883
-160965.0,278,1253.118902
-172767.0,295,1254.216843
-180163.0,302,1255.366901
-186082.0,305,1256.507922
-166612.0,283,1257.611874
-146252.0,269,1264.381063
-158163.0,280,1265.503857
-156175.0,287,1266.531945
-161223.0,284,1267.636112
-168121.0,291,1268.890922
-162827.0,287,1269.953097
-158828.0,278,1270.997172
-162271.0,285,1278.372849
-157355.0,280,1279.482881
-160710.0,285,1280.584768
-156720.0,265,1281.560797
-168361.0,296,1282.703724
-153102.0,279,1283.762942
-152945.0,280,1284.801836
-170792.0,289,1285.876868
-161520.0,296,1292.724842
-162596.0,283,1293.799155
-165163.0,294,1294.859215
-153797.0,282,1295.882611
-152995.0,281,1296.886645
-157473.0,272,1297.896829
-159324.0,274,1298.884747
-157518.0,275,1305.587157
-148514.0,274,1306.596382
-159980.0,288,1307.629471
-150587.0,267,1308.615166
-171815.0,296,1309.681801
-158017.0,288,1310.736907
-160893.0,275,1311.796802
-157089.0,279,1318.186343
-161726.0,281,1319.192168
-157766.0,275,1320.169703
-156954.0,284,1321.220796
-152780.0,264,1322.168798
-170128.0,288,1323.200813
-155013.0,283,1324.226794
-168579.0,296,1330.540841
-159698.0,284,1331.566014
-154532.0,278,1332.539771
-148976.0,281,1333.563197
-143850.0,266,1334.498306
-153833.0,274,1335.529832
-143538.0,271,1336.499893
-154400.0,277,1337.484829
-167543.0,288,1343.656636
-156368.0,276,1344.643791
-151112.0,272,1345.569849
-166146.0,286,1346.516736
-162441.0,269,1347.44072
-143637.0,273,1348.411831
-152540.0,283,1349.393799
-156190.0,272,1355.955866
-154270.0,279,1357.024814
-137610.0,266,1358.008705
-154822.0,279,1359.140323
-148806.0,272,1360.198749
-161708.0,286,1361.349893
-156561.0,289,1362.573735
-174431.0,298,1363.938106
-155756.0,287,1371.838806
-156738.0,277,1372.987897
-157538.0,277,1374.11902
-150615.0,281,1375.229936
-147845.0,265,1376.280828
-153925.0,274,1377.408293
-155022.0,276,1378.528255
-142702.0,269,1386.347487
-159794.0,270,1387.485426
-163918.0,291,1388.630241
-166211.0,285,1389.783797
-153417.0,277,1390.867774
-170517.0,295,1392.013801
-157469.0,285,1393.128784
-153520.0,276,1400.55882
-160634.0,281,1401.765649
-154847.0,287,1402.924831
-164246.0,297,1404.120342
-152477.0,270,1405.223744
-159648.0,276,1406.328885
-154529.0,279,1407.478275
-165165.0,297,1415.158677
-141432.0,263,1416.354738
-149298.0,268,1417.451279
-158330.0,278,1418.579554
-158020.0,293,1419.7531
-152414.0,282,1420.868455
-151563.0,283,1421.979975
-157116.0,287,1423.105763
-150183.0,264,1430.675828
-153027.0,273,1431.813882
-157686.0,279,1432.957758
-157316.0,290,1434.191744
-156236.0,269,1435.309667
-154940.0,279,1436.409765
-152882.0,269,1437.480739
